,name,psnr,ssim
0,Set12\01,32.349770717688806,0.9531012140747359
1,Set12\02,34.534081920075124,0.9531952164769418
2,Set12\03,33.01001695418903,0.9577592408627547
3,Set12\04,31.873349727911773,0.9524539067911449
4,Set12\05,32.86220978943944,0.9714356941149738
5,Set12\06,31.504407505056502,0.9540438629504896
6,Set12\07,31.75157234833506,0.951070621441746
7,Set12\08,34.17458269089914,0.9552024243538009
8,Set12\09,32.07342509604252,0.9542565906802264
9,Set12\10,32.17224022097528,0.933376194946014
10,Set12\11,32.23865402097099,0.9381843683366735
11,Set12\12,32.106082302577626,0.938467349974285
12,Average,32.55419944118012,0.9510455570836487
