,name,psnr,ssim
0,Set12\01,32.677701621276576,0.9564710441205855
1,Set12\02,35.078576950198084,0.9571136786362819
2,Set12\03,33.31792747558747,0.9604335432502924
3,Set12\04,32.28348869948832,0.9558847375987549
4,Set12\05,33.32017332637995,0.9750792928098396
5,Set12\06,31.754774601414763,0.956914905601625
6,Set12\07,31.92583173171039,0.9531900564727436
7,Set12\08,34.682682664118346,0.9601265897646702
8,Set12\09,32.69146239344627,0.9609583698553971
9,Set12\10,32.49018990398005,0.938588452868253
10,Set12\11,32.48539907965175,0.9422133528163966
11,Set12\12,32.52784642546986,0.9451637023668037
12,Average,32.93633790606015,0.9551781438468036
